created_date;is_retweet?;text;text_retweet;language;hashtags;mentions;location;geo_location;geo_country;geo_coordinates;user_created_at;screen_name;name;profile_description;total_number_of_tweets;is_verified;followers_count;friends_count;retweets_count;favorite_count;url;listed_count;default_profile;default_profile_image;has_extended_profile;language_desc;tweet_full;pre_proc_tweet;stop_filter_tweet;pos_tags;stem_filter;lemma_filter
2019-03-19 21:02:19;True;;RT @lbweaver: This isn’t difficult, @GovBillLee. Either you support a pedophile or you don’t. @SenShelby took a stand against it. You can,…;en;;'lbweaver' 'GovBillLee' 'SenShelby';;;;;2012-08-22 14:06:16;hanoiXan;JohnWhorfin;Minion driver;35116;False;656;999;5;0;https://t.co/Pq3AMwMwzI;9;False;False;False;english;RT @lbweaver: This isn’t difficult, @GovBillLee. Either you support a pedophile or you don’t. @SenShelby took a stand against it. You can,…;  this isn’t difficult,  either you suppo a pedophile or you don’t.  took a stand against it. you can,…;’ difficult , either suppo pedophile ’ . took stand . , … ;[('’', 'NN'), ('difficult', 'JJ'), (',', ','), ('either', 'RB'), ('suppo', 'JJ'), ('pedophile', 'NN'), ('’', 'NN'), ('.', '.'), ('took', 'VBD'), ('stand', 'NN'), ('.', '.'), (',', ','), ('…', 'NN')];’ difficult , either suppo pedophil ’ . took stand . , …;’ difficult , either suppo pedophile ’ . take stand . , …
2019-03-19 21:02:16;True;;"RT @jgmacleodauthor: #ABALONE: a provocative psychological drama for readers who loved The Lucky One &amp; Safe Haven.
https://t.co/yRcdOb4QgB…";en;'ABALONE';'jgmacleodauthor';Planet Earth;;;;2009-08-24 16:42:20;SusanneKnight;Susanne Knight;#Author: Romance Writing with a Twist! https://t.co/TyvxBPMQZT https://t.co/GCuUYxw2Hl;7195;False;1922;1646;102;0;http://t.co/ehAFMFqgeU;71;False;False;False;english;"RT @jgmacleodauthor: #ABALONE: a provocative psychological drama for readers who loved The Lucky One &amp; Safe Haven.
https://t.co/yRcdOb4QgB…";"   a provocative psychological drama for readers who loved the lucky one &amp; safe haven.
";"provocative psychological drama readers loved lucky one & amp ; safe . ";"[('provocative', 'JJ'), ('psychological', 'JJ'), ('drama', 'NN'), ('readers', 'NNS'), ('loved', 'VBD'), ('lucky', 'JJ'), ('one', 'CD'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('safe', 'JJ'), ('.', '.')]";"provoc psycholog drama reader love lucki one & amp ; safe .";"provocative psychological drama reader love lucky one & amp ; safe ."
2019-03-19 21:02:16;True;;RT @RaniaKhalek: Israel successfully pressured Germany to revoke the visa of a Palestinian woman who was tortured and RAPED by Israeli sold…;en;;'RaniaKhalek';;;;;2018-05-15 04:16:49;blackcheckmark;Bearly Dreamy ❌⭕❌❌⭕;A cuddly baby bear 🐻💘 overflowing honeycombs of salubrious retweets sprankled with dank nugs of ursine vengeance.;25425;False;196;2096;1128;0;https://t.co/7C0pADH2Aa;5;False;False;False;english;RT @RaniaKhalek: Israel successfully pressured Germany to revoke the visa of a Palestinian woman who was tortured and RAPED by Israeli sold…;  israel successfully pressured germany to revoke the visa of a palestinian woman who was toured and raped by israeli sold…;israel successfully pressured germany revoke visa palestinian woman toured raped israeli sold… ;[('israel', 'NN'), ('successfully', 'RB'), ('pressured', 'VBD'), ('germany', 'JJ'), ('revoke', 'NN'), ('visa', 'NN'), ('palestinian', 'JJ'), ('woman', 'NN'), ('toured', 'VBD'), ('raped', 'VBD'), ('israeli', 'JJ'), ('sold…', 'NN')];israel success pressur germani revok visa palestinian woman tour rape isra sold…;israel successfully pressure germany revoke visa palestinian woman tour rap israeli sold…
2019-03-19 21:02:08;True;;"RT @SouthernHomo: The other day a dude was like ""I can't stand the #MeToo movement. I always have to watch what I say in case I offend some…";en;'MeToo';'SouthernHomo';San Antonio, TX;;;;2009-06-26 17:48:46;bobcatchica04;Melie;Red Sox lover living the taco life in San Antonio | Ravenclaw |  ☕⚾🐕;108192;False;201;338;74;0;;13;False;False;True;english;"RT @SouthernHomo: The other day a dude was like ""I can not stand the #MeToo movement. I always have to watch what I say in case I offend some…";"  the other day a dude was like ""i can not stand the  movement. i always have to watch what i say in case i offend some…";day dude like `` stand movement . always watch say case offend some… ;[('day', 'NN'), ('dude', 'VBP'), ('like', 'IN'), ('``', '``'), ('stand', 'VB'), ('movement', 'NN'), ('.', '.'), ('always', 'RB'), ('watch', 'VBP'), ('say', 'VBP'), ('case', 'NN'), ('offend', 'VBP'), ('some…', 'NN')];day dude like `` stand movement . alway watch say case offend some…;day dude like `` stand movement . always watch say case offend some…
2019-03-19 21:02:03;True;;"RT @jdesmondharris: You don't have to write ""in the era of #MeToo"" in every piece about women. I promise.";en;'MeToo';'jdesmondharris';Utah;;;;2011-02-13 19:40:20;OrtegaLJo;Lisa;;227;False;38;290;6992;0;;0;False;False;False;english;"RT @jdesmondharris: You do not have to write ""in the era of #MeToo"" in every piece about women. I promise.";"  you do not have to write ""in the era of  in every piece about women. i promise.";write `` era every piece women . promise . ;[('write', 'VB'), ('``', '``'), ('era', 'NN'), ('every', 'DT'), ('piece', 'NN'), ('women', 'NNS'), ('.', '.'), ('promise', 'NN'), ('.', '.')];write `` era everi piec women . promis .;write `` era every piece woman . promise .
2019-03-19 21:01:53;True;;RT @MichaelGLFlood: The Gillette Ad is one part of the cultural reckoning after #MeToo. But most men still remain notably absent from the c…;en;'MeToo';'MichaelGLFlood';Durham, England;;;;2013-08-10 21:36:26;the_daily_panda;Stephen Burrell;Postdoctoral Research Associate @DurhamSociology / @CRiVADurham, interested in engaging men and boys in the prevention of men's violence against women.;9142;False;1862;2620;2;0;https://t.co/b1p5xbWsoI;20;False;False;True;english;RT @MichaelGLFlood: The Gillette Ad is one part of the cultural reckoning after #MeToo. But most men still remain notably absent from the c…;  the gillette ad is one pa of the cultural reckoning after  but most men still remain notably absent from the c…;gillette ad one pa cultural reckoning men still remain notably absent c… ;[('gillette', 'NN'), ('ad', 'NN'), ('one', 'CD'), ('pa', 'NN'), ('cultural', 'JJ'), ('reckoning', 'VBG'), ('men', 'NNS'), ('still', 'RB'), ('remain', 'VBP'), ('notably', 'RB'), ('absent', 'JJ'), ('c…', 'NN')];gillett ad one pa cultur reckon men still remain notabl absent c…;gillette ad one pa cultural reckon men still remain notably absent c…
2019-03-19 21:01:52;True;;RT @ADP: Many states amplified their sexual harassment prevention efforts as a result of the #MeToo movement. Join us for Part 1 of a #webc…;en;'MeToo';'ADP';Maine, USA;;;;2012-09-05 00:59:28;BobCahill4;Bob Cahill;Sales Leader - Husband and Dad ~ avid golfer ~ Boston sports fan (all tweets are my own);1966;False;81;105;3;0;https://t.co/cKnRByieWM;50;True;False;False;english;RT @ADP: Many states amplified their sexual harassment prevention efforts as a result of the #MeToo movement. Join us for Part 1 of a #webc…;  many states amplified their sexual harassment prevention effos as a result of the  movement. join us for pa 1 of a ;many states amplified sexual harassment prevention effos result movement . join us pa 1 ;[('many', 'JJ'), ('states', 'NNS'), ('amplified', 'VBD'), ('sexual', 'JJ'), ('harassment', 'NN'), ('prevention', 'NN'), ('effos', 'VBZ'), ('result', 'JJ'), ('movement', 'NN'), ('.', '.'), ('join', 'VB'), ('us', 'PRP'), ('pa', 'VB'), ('1', 'CD')];mani state amplifi sexual harass prevent effo result movement . join us pa 1;many state amplify sexual harassment prevention effos result movement . join u pa 1
2019-03-19 21:01:37;True;;RT @onthemoonarts: Can't wait for Do Re #MeToo on May 9 @MetroChicago with @lpjleague @lizzwinstead @Itskvalentine @NoraOConnorKean @bt_vic…;en;'MeToo';'onthemoonarts' 'MetroChicago' 'LPJLeague' 'lizzwinstead' 'Itskvalentine' 'NoraOConnorKean';Chicago, IL;;;;2007-11-14 17:51:53;MetroChicago;Metro;Chicago's independent music venue since '82. Follow us for exclusive presales, ticket giveaways, new show announcements & music banter.;18968;True;59348;3253;1;0;https://t.co/dOmVe6tDMI;1501;False;False;False;english;RT @onthemoonarts: Can't wait for Do Re #MeToo on May 9 @MetroChicago with @lpjleague @lizzwinstead @Itskvalentine @NoraOConnorKean @bt_vic…;  can't wait for do re  on may 9  with     ;ca n't wait may 9 ;"[('ca', 'MD'), (""n't"", 'RB'), ('wait', 'VB'), ('may', 'MD'), ('9', 'CD')]";ca n't wait may 9;ca n't wait may 9
2019-03-19 21:01:34;True;;"RT @SouthernHomo: The other day a dude was like ""I can't stand the #MeToo movement. I always have to watch what I say in case I offend some…";en;'MeToo';'SouthernHomo';Austin, TX;;;;2012-06-15 23:20:35;_victoria23_;victoria;time is money, money is power, power is pizza, pizza is knowledge;12159;False;240;209;74;0;;2;False;False;True;english;"RT @SouthernHomo: The other day a dude was like ""I can not stand the #MeToo movement. I always have to watch what I say in case I offend some…";"  the other day a dude was like ""i can not stand the  movement. i always have to watch what i say in case i offend some…";day dude like `` stand movement . always watch say case offend some… ;[('day', 'NN'), ('dude', 'VBP'), ('like', 'IN'), ('``', '``'), ('stand', 'VB'), ('movement', 'NN'), ('.', '.'), ('always', 'RB'), ('watch', 'VBP'), ('say', 'VBP'), ('case', 'NN'), ('offend', 'VBP'), ('some…', 'NN')];day dude like `` stand movement . alway watch say case offend some…;day dude like `` stand movement . always watch say case offend some…
2019-03-19 21:01:16;True;;RT @RaniaKhalek: Israel successfully pressured Germany to revoke the visa of a Palestinian woman who was tortured and RAPED by Israeli sold…;en;;'RaniaKhalek';Kajiado, Kenya;;;;2011-08-10 12:04:02;Mrashiano;Fiqi Rasheedy;"Cool, calm and collected
Businessman/Gunner/
Politics affect your life in all ways.";4441;False;219;584;1128;0;;0;False;False;True;english;RT @RaniaKhalek: Israel successfully pressured Germany to revoke the visa of a Palestinian woman who was tortured and RAPED by Israeli sold…;  israel successfully pressured germany to revoke the visa of a palestinian woman who was toured and raped by israeli sold…;israel successfully pressured germany revoke visa palestinian woman toured raped israeli sold… ;[('israel', 'NN'), ('successfully', 'RB'), ('pressured', 'VBD'), ('germany', 'JJ'), ('revoke', 'NN'), ('visa', 'NN'), ('palestinian', 'JJ'), ('woman', 'NN'), ('toured', 'VBD'), ('raped', 'VBD'), ('israeli', 'JJ'), ('sold…', 'NN')];israel success pressur germani revok visa palestinian woman tour rape isra sold…;israel successfully pressure germany revoke visa palestinian woman tour rap israeli sold…
2019-03-19 21:01:16;True;;RT @RaniaKhalek: Israel successfully pressured Germany to revoke the visa of a Palestinian woman who was tortured and RAPED by Israeli sold…;en;;'RaniaKhalek';Brooklyn NY;;;;2011-10-04 16:06:43;3Serag;#FreeEgypt;Justice & Human rights for all. #jan25 #Egypt #Syria #TheResistance #FreeAlaa #تيران_وصنافير_مصرية Retweet’s reflect my view.;36032;False;1424;874;1128;0;https://t.co/j1xMEZY3Da;12;False;False;True;english;RT @RaniaKhalek: Israel successfully pressured Germany to revoke the visa of a Palestinian woman who was tortured and RAPED by Israeli sold…;  israel successfully pressured germany to revoke the visa of a palestinian woman who was toured and raped by israeli sold…;israel successfully pressured germany revoke visa palestinian woman toured raped israeli sold… ;[('israel', 'NN'), ('successfully', 'RB'), ('pressured', 'VBD'), ('germany', 'JJ'), ('revoke', 'NN'), ('visa', 'NN'), ('palestinian', 'JJ'), ('woman', 'NN'), ('toured', 'VBD'), ('raped', 'VBD'), ('israeli', 'JJ'), ('sold…', 'NN')];israel success pressur germani revok visa palestinian woman tour rape isra sold…;israel successfully pressure germany revoke visa palestinian woman tour rap israeli sold…
2019-03-19 21:01:08;True;;RT @CIVICUSalliance: #FreeAmal: We stand in solidarity with Amal in #Egypt , who was sentenced to 2 years in prison for speaking out about…;en;'FreeAmal', 'Egypt';'CIVICUSalliance';Paris, France;;;;2017-01-09 18:30:16;womensmarchpar;Women's March Paris;Chapitre parisien de @WM_Global | #FeminismeInclusif ✊🏾🇫🇷 #ThisIsGlobal | contact : paris@womensmarch.fr;8215;False;1896;977;12;0;https://t.co/i51hD9le2c;27;False;False;False;english;RT @CIVICUSalliance: #FreeAmal: We stand in solidarity with Amal in #Egypt , who was sentenced to 2 years in prison for speaking out about…;   we stand in solidarity with amal in  , who was sentenced to 2 years in prison for speaking out about…;stand solidarity amal , sentenced 2 years prison speaking about… ;[('stand', 'NN'), ('solidarity', 'NN'), ('amal', 'NN'), (',', ','), ('sentenced', 'VBD'), ('2', 'CD'), ('years', 'NNS'), ('prison', 'JJ'), ('speaking', 'NN'), ('about…', 'NN')];stand solidar amal , sentenc 2 year prison speak about…;stand solidarity amal , sentence 2 year prison speaking about…
2019-03-19 21:01:05;False;It would be so refreshing to see #metoo and women’s march, and all liberal women representatives give his behavior a huge outcry.  But no.....not a word.  They have plenty to say on msm about @Potus and his relationship with @Flotus though. https://t.co/0unWFD4gyY;;en;'metoo';'POTUS' 'FLOTUS';Montana, USA;;;;2017-01-04 18:11:10;MichaelPaulhei2;Michael Paul heinen;Semi-retired, avid outdoorsman, US Army Military Police Veteran, and Trump supporter since day 1! #maga;5614;False;363;115;0;0;;1;True;False;True;english;It would be so refreshing to see #metoo and women’s march, and all liberal women representatives give his behavior a huge outcry.  But no.....not a word.  They have plenty to say on msm about @Potus and his relationship with @Flotus though. https://t.co/0unWFD4gyY;it would be so refreshing to see  and women’s march, and all liberal women representatives give his behavior a huge outcry.  but no.....not a word.  they have plenty to say on msm about  and his relationship with  though. ;would refreshing see women ’ march , liberal women representatives give behavior huge outcry . ... ..not word . plenty say msm relationship though . ;[('would', 'MD'), ('refreshing', 'VBG'), ('see', 'VB'), ('women', 'NNS'), ('’', 'VB'), ('march', 'NN'), (',', ','), ('liberal', 'JJ'), ('women', 'NNS'), ('representatives', 'NNS'), ('give', 'VBP'), ('behavior', 'JJ'), ('huge', 'JJ'), ('outcry', 'NN'), ('.', '.'), ('...', ':'), ('..not', 'JJ'), ('word', 'NN'), ('.', '.'), ('plenty', 'JJ'), ('say', 'VBP'), ('msm', 'NN'), ('relationship', 'NN'), ('though', 'IN'), ('.', '.')];would refresh see women ’ march , liber women repres give behavior huge outcri . ... ..not word . plenti say msm relationship though .;would refresh see woman ’ march , liberal woman representative give behavior huge outcry . ... ..not word . plenty say msm relationship though .
2019-03-19 21:01:03;True;;"RT @jdesmondharris: You don't have to write ""in the era of #MeToo"" in every piece about women. I promise.";en;'MeToo';'jdesmondharris';Sheffield, England;;;;2011-11-28 00:23:25;kamz_online;Kamila | KamZ Online;Polish girl living in the UK 🙎🏼| Lifestyle Blogger 💻 | Marketing&Trading Exec at lookfantastic |📍Manchester | Kamz.online25@gmail.com ✉️ |;22818;False;2143;2328;6992;0;;14;False;False;True;english;"RT @jdesmondharris: You do not have to write ""in the era of #MeToo"" in every piece about women. I promise.";"  you do not have to write ""in the era of  in every piece about women. i promise.";write `` era every piece women . promise . ;[('write', 'VB'), ('``', '``'), ('era', 'NN'), ('every', 'DT'), ('piece', 'NN'), ('women', 'NNS'), ('.', '.'), ('promise', 'NN'), ('.', '.')];write `` era everi piec women . promis .;write `` era every piece woman . promise .
2019-03-19 21:00:51;True;;RT @RaniaKhalek: Israel successfully pressured Germany to revoke the visa of a Palestinian woman who was tortured and RAPED by Israeli sold…;en;;'RaniaKhalek';;;;;2009-07-04 16:09:40;awk786;AWK;;65461;False;248;559;1128;0;;57;True;False;False;english;RT @RaniaKhalek: Israel successfully pressured Germany to revoke the visa of a Palestinian woman who was tortured and RAPED by Israeli sold…;  israel successfully pressured germany to revoke the visa of a palestinian woman who was toured and raped by israeli sold…;israel successfully pressured germany revoke visa palestinian woman toured raped israeli sold… ;[('israel', 'NN'), ('successfully', 'RB'), ('pressured', 'VBD'), ('germany', 'JJ'), ('revoke', 'NN'), ('visa', 'NN'), ('palestinian', 'JJ'), ('woman', 'NN'), ('toured', 'VBD'), ('raped', 'VBD'), ('israeli', 'JJ'), ('sold…', 'NN')];israel success pressur germani revok visa palestinian woman tour rape isra sold…;israel successfully pressure germany revoke visa palestinian woman tour rap israeli sold…
2019-03-19 21:00:45;True;;"RT @jdesmondharris: You don't have to write ""in the era of #MeToo"" in every piece about women. I promise.";en;'MeToo';'jdesmondharris';Los Angeles, CA;;;;2012-03-22 05:38:06;joeyisakangaroo;Joey;If I don't like where I'm standing I move.;10537;False;157;521;6992;0;https://t.co/wHUJ45CI19;5;False;False;True;english;"RT @jdesmondharris: You do not have to write ""in the era of #MeToo"" in every piece about women. I promise.";"  you do not have to write ""in the era of  in every piece about women. i promise.";write `` era every piece women . promise . ;[('write', 'VB'), ('``', '``'), ('era', 'NN'), ('every', 'DT'), ('piece', 'NN'), ('women', 'NNS'), ('.', '.'), ('promise', 'NN'), ('.', '.')];write `` era everi piec women . promis .;write `` era every piece woman . promise .
