id;source;created_date;is_retweet;text;text_retweet;language;hashtags;mentions;location;geo_location;geo_country;geo_coordinates;user_created_at;screen_name;name;profile_description;total_number_of_tweets;is_verified;followers_count;friends_count;retweets_count;favorite_count;url;listed_count;default_profile;default_profile_image;has_extended_profile;language_desc;tweet_full;pre_proc_tweet;stop_filter_tweet;pos_tags;stem_filter;lemma_filter
13000;instagram;2019-02-22 20:16:29;FALSE;"this is literally such a relief and i am near tears that this is finally happening. his first court day is on international women's day because yime is up for these dispicable humans
.
.
.
 #timesup #muterkelly #metoo #protectourkids";;en;#TIMESUP, #muterkelly, #metoo, #protectourkids;;;;;0;;dawnehanks;Dawne Hanks;;0;False;2;0;0;34;https://instagram.fyvr3-1.fna.fbcdn.net/vp/fc22e3fd8d2a4fdb02bf63fee4d744e5/5D12DC49/t51.2885-15/e35/51668783_847336155621627_470945216885968720_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net;0;FALSE;FALSE;FALSE;english;"this is literally such a relief and i am near tears that this is finally happening. his first court day is on international women's day because yime is up for these dispicable humans
.
.
.
 #timesup #muterkelly #metoo #protectourkids";"this is literally such a relief and i am near tears that this is finally happening. his first cou day is on international women's day because yime is up for these dispicable humans
.
.
.
    ";literally relief near tears finally happening . first cou day international women 's day yime dispicable humans . . . ;"[('literally', 'RB'), ('relief', 'NN'), ('near', 'IN'), ('tears', 'NNS'), ('finally', 'RB'), ('happening', 'VBG'), ('.', '.'), ('first', 'JJ'), ('cou', 'JJ'), ('day', 'NN'), ('international', 'JJ'), ('women', 'NNS'), (""'s"", 'POS'), ('day', 'NN'), ('yime', 'CC'), ('dispicable', 'JJ'), ('humans', 'NNS'), ('.', '.'), ('.', '.'), ('.', '.')]";liter relief near tear final happen . first cou day intern women 's day yime dispic human . . .;literally relief near tear finally happen . first cou day international woman 's day yime dispicable human . . .
13001;instagram;2019-02-22 20:16:59;FALSE;to much pluck #eyebrow #eyebrowfail #eyebrows #makeup #depression #metoo #fun #meme #memes #fortnite #fortnitememe;;en;#eyebrow, #eyebrowfail, #eyebrows, #makeup, #depression, #metoo, #fun, #meme, #memes, #fortnite, #fortnitememe;;;;;0;;ipostcrookedeyebrowseveryday;Crooked Eyebrows;;0;False;0;0;0;7;https://instagram.fyvr3-1.fna.fbcdn.net/vp/ad16eac2f542ea344bfd106246a3e28e/5D152976/t51.2885-15/e35/51522777_757867394597123_4728004137690379080_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net;0;FALSE;FALSE;FALSE;english;to much pluck #eyebrow #eyebrowfail #eyebrows #makeup #depression #metoo #fun #meme #memes #fortnite #fortnitememe;to much pluck           ;much pluck ;[('much', 'JJ'), ('pluck', 'NN')];much pluck;much pluck
13002;instagram;2019-02-22 20:17:13;FALSE;my acting resume was scanty, so i decided to write a sexual resume... now that was interesting! the review is even better!! 😁 https://nohoartsdistrict.com/theatres/theatre-reviews/item/6239-the-whitefire-theatre-solofest-presents-hollywoodn-t #hollywoodnt #sexualresume #castingcall #castingcouch #metoo @nohoartsdistrict @womenintheworld @latimes_entertainment;;en;#hollywoodnt, #sexualresume, #castingcall, #castingcouch, #metoo;@nohoartsdistrict, @womenintheworld, @latimes_entertainment;;;;0;;lisaverlo;Lisa Verlo;;0;False;2;0;0;37;https://instagram.fyvr3-1.fna.fbcdn.net/vp/1ddc064ce75afbb00d091d746a93bbf5/5D26CAE4/t51.2885-15/e35/51218190_1144036885778018_4119609065134274074_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net;0;FALSE;FALSE;FALSE;english;my acting resume was scan noty, so i decided to write a sexual resume... now that was interesting! the review is even better!! 😁 https://nohoartsdistrict.com/theatres/theatre-reviews/item/6239-the-whitefire-theatre-solofest-presents-hollywoodn-t #hollywoodnt #sexualresume #castingcall #castingcouch #metoo @nohoartsdistrict @womenintheworld @latimes_entertainment;my acting resume was scan noty, so i decided to write a sexual resume... now that was interesting! the review is even better!! 😁         ;acting resume scan noty , decided write sexual resume ... interesting ! review even better ! ! 😁 ;[('acting', 'VBG'), ('resume', 'NN'), ('scan', 'JJ'), ('noty', 'NN'), (',', ','), ('decided', 'VBD'), ('write', 'JJ'), ('sexual', 'JJ'), ('resume', 'NN'), ('...', ':'), ('interesting', 'JJ'), ('!', '.'), ('review', 'NN'), ('even', 'RB'), ('better', 'RBR'), ('!', '.'), ('!', '.'), ('😁', 'NN')];act resum scan noti , decid write sexual resum ... interest ! review even better ! ! 😁;act resume scan noty , decide write sexual resume ... interesting ! review even well ! ! 😁
13003;instagram;2019-02-22 20:18:33;FALSE;"please, turn off the lights. i would like to take a royal nap. the only thing my servants do is take pictures of me in bed. i kinda feel harassed..
-
#cats #cat #britishshorthair #russianblue #napping #sleep #bed #pillow #metoo";;en;#cats, #cat, #britishshorthair, #russianblue, #napping, #sleep, #bed, #pillow, #metoo;;;;;0;;ollie_theninja;Ollie;;0;False;0;0;0;23;https://instagram.fyvr3-1.fna.fbcdn.net/vp/ce93741f44ebd5a0d5483b673153cd2a/5D0EE058/t51.2885-15/e35/52793510_831199433912899_8945936616602239667_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net;0;FALSE;FALSE;FALSE;english;"please, turn off the lights. i would like to take a royal nap. the only thing my servants do is take pictures of me in bed. i kinda feel harassed..
-
#cats #cat #britishshorthair #russianblue #napping #sleep #bed #pillow #metoo";"please, turn off the lights. i would like to take a royal nap. the only thing my servants do is take pictures of me in bed. i kinda feel harassed..
-
        ";please , turn lights . would like take royal nap . thing servants take pictures bed . kinda feel harassed.. - ;[('please', 'NN'), (',', ','), ('turn', 'VB'), ('lights', 'NNS'), ('.', '.'), ('would', 'MD'), ('like', 'VB'), ('take', 'VB'), ('royal', 'JJ'), ('nap', 'NNS'), ('.', '.'), ('thing', 'NN'), ('servants', 'NNS'), ('take', 'VBP'), ('pictures', 'NNS'), ('bed', 'VBN'), ('.', '.'), ('kinda', 'VB'), ('feel', 'NN'), ('harassed..', 'SYM'), ('-', ':')];pleas , turn light . would like take royal nap . thing servant take pictur bed . kinda feel harassed.. -;please , turn light . would like take royal nap . thing servant take picture bed . kinda feel harassed.. -
13004;instagram;2019-02-22 20:19:49;FALSE;"""don’t be afraid! #metoo!"" (#4) #druck #skamgermany (subbed by drucktranslations on tumblr / drucktranslations.de)";;en;"#MeToo!"", #druck, #skamgermany";;;;;0;;druckenglish;;;0;False;9;0;0;571;https://instagram.fyvr3-1.fna.fbcdn.net/vp/e00c2bf3c3a53922e0cf75b688f54b43/5C7D324E/t51.2885-15/e35/51782844_296026921062473_34398207048601153_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net;0;FALSE;FALSE;FALSE;english;"""don’t be afraid! #metoo!"" (#4) #druck #skamgermany (subbed by drucktranslations on tumblr / drucktranslations.de)";"""don’t be afraid!  (   (subbed by drucktranslations on tumblr / drucktranslations.de)";`` ’ afraid ! ( ( subbed drucktranslations tumblr / drucktranslations.de ) ;[('``', '``'), ('’', 'NN'), ('afraid', 'JJ'), ('!', '.'), ('(', '('), ('(', '('), ('subbed', 'VBN'), ('drucktranslations', 'NNS'), ('tumblr', 'VBP'), ('/', 'NNP'), ('drucktranslations.de', 'NN'), (')', ')')];`` ’ afraid ! ( ( sub drucktransl tumblr / drucktranslations.d ); ’ afraid ! ( ( sub drucktranslations tumblr / drucktranslations.de )
13005;instagram;2019-02-22 20:20:46;TRUE;;✨read my new short story ‘road trip’ for free at the link in my bio📚💙plus, you are very welcome to repost any content from my instagram page💙 enjoy💜🌏🍃🌲#michelleuptontheauthor #bravingthewilderness #daringgreatly #omagazine #oprah #deepakchopra #russellbrand #emmagonzalez #togetherwerise #brenebrown #abbywambach #timesup #writersofinstagram #webelieveyou #metoo #cherylstrayed #eckharttolle #robbell  #togetherrising #womensmarch #glennondoylemelton #jenniferniven #mayaangelou #supersoulsunday #elizabethgilbert #tonyrobbins #quotes #riseup #poemsofinstagram #enoughisenough;en;#bravingthewilderness, #daringgreatly, #omagazine, #oprah, #deepakchopra, #russellbrand, #emmagonzalez, #togetherwerise, #brenebrown, #abbywambach, #timesup, #writersofinstagram, #webelieveyou, #metoo, #cherylstrayed, #eckharttolle, #robbell, #togetherrising, #womensmarch, #glennondoylemelton, #jenniferniven, #mayaangelou, #supersoulsunday, #elizabethgilbert, #tonyrobbins, #quotes, #riseup, #poemsofinstagram, #enoughisenough;;;;;0;;michelleuptontheauthor;Michelle Upton;;0;False;1;0;0;63;https://instagram.fyvr3-1.fna.fbcdn.net/vp/1275f3a28d548d8c4049357552396625/5D098B38/t51.2885-15/e35/52566046_172061830441114_6373462716656387421_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net;0;FALSE;FALSE;FALSE;english;✨read my new short story ‘road trip’ for free at the link in my bio📚💙plus, you are very welcome to repost any content from my instagram page💙 enjoy💜🌏🍃🌲#michelleuptontheauthor #bravingthewilderness #daringgreatly #omagazine #oprah #deepakchopra #russellbrand #emmagonzalez #togetherwerise #brenebrown #abbywambach #timesup #writersofinstagram #webelieveyou #metoo #cherylstrayed #eckharttolle #robbell  #togetherrising #womensmarch #glennondoylemelton #jenniferniven #mayaangelou #supersoulsunday #elizabethgilbert #tonyrobbins #quotes #riseup #poemsofinstagram #enoughisenough;✨read my new sho story ‘road trip’ for free at the link in my bio📚💙plus, you are very welcome to repost any content from my instagram page💙 enjoy💜🌏🍃🌲                              ;✨read new sho story ‘ road trip ’ free link bio📚💙plus , welcome repost content instagram page💙 enjoy💜🌏🍃🌲 ;[('✨read', 'JJ'), ('new', 'JJ'), ('sho', 'JJ'), ('story', 'NN'), ('‘', 'NNP'), ('road', 'NN'), ('trip', 'NN'), ('’', 'NNP'), ('free', 'JJ'), ('link', 'NN'), ('bio📚💙plus', 'NN'), (',', ','), ('welcome', 'JJ'), ('repost', 'NN'), ('content', 'NN'), ('instagram', 'NN'), ('page💙', 'NN'), ('enjoy💜🌏🍃🌲', 'NN')];✨read new sho stori ‘ road trip ’ free link bio📚💙plu , welcom repost content instagram page💙 enjoy💜🌏🍃🌲;✨read new sho story ‘ road trip ’ free link bio📚💙plus , welcome repost content instagram page💙 enjoy💜🌏🍃🌲
13006;instagram;2019-02-22 20:21:18;FALSE;"every once in a while it’s nice to mix things up on your business page.
who says you can’t toss in a picture of a brene brown quote.

love brene, have read almost all of her books, she’s on the mark.

enjoy 😉 your day.";;en;;;;;;0;;onlineorientalrugs;Online Oriental Rugs;;0;False;4;0;0;51;https://instagram.fyvr3-1.fna.fbcdn.net/vp/96f4b2b6681808a876c9ee514af23567/5D1E9EE9/t51.2885-15/e35/51662346_2197426390506641_6982447324667128456_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net;0;FALSE;FALSE;FALSE;english;"every once in a while it’s nice to mix things up on your business page.
who says you can’t toss in a picture of a brene brown quote.

love brene, have read almost all of her books, she’s on the mark.

enjoy 😉 your day.";"every once in a while it’s nice to mix things up on your business page.
who says you can’t toss in a picture of a brene brown quote.

love brene, have read almost all of her books, she’s on the mark.

enjoy 😉 your day.";every ’ nice mix things business page . says ’ toss picture brene brown quote . love brene , read almost books , ’ mark . enjoy 😉 day . ;[('every', 'DT'), ('’', 'NN'), ('nice', 'JJ'), ('mix', 'JJ'), ('things', 'NNS'), ('business', 'NN'), ('page', 'NN'), ('.', '.'), ('says', 'VBZ'), ('’', 'JJ'), ('toss', 'IN'), ('picture', 'NN'), ('brene', 'NN'), ('brown', 'JJ'), ('quote', 'NN'), ('.', '.'), ('love', 'VB'), ('brene', 'NN'), (',', ','), ('read', 'VBP'), ('almost', 'RB'), ('books', 'NNS'), (',', ','), ('’', 'NNP'), ('mark', 'NN'), ('.', '.'), ('enjoy', 'VB'), ('😉', 'JJ'), ('day', 'NN'), ('.', '.')];everi ’ nice mix thing busi page . say ’ toss pictur brene brown quot . love brene , read almost book , ’ mark . enjoy 😉 day .;every ’ nice mix thing business page . say ’ toss picture brene brown quote . love brene , read almost book , ’ mark . enjoy 😉 day .
13007;instagram;2019-02-22 20:21:53;TRUE;;✨read my new short story ‘road trip’ for free at the link in my bio📚💙plus, you are very welcome to repost any content from my instagram page💙 enjoy💜🌏🍃🌲#michelleuptontheauthor #bravingthewilderness #daringgreatly #omagazine #oprah #deepakchopra #russellbrand #emmagonzalez #togetherwerise #brenebrown #abbywambach #timesup #writersofinstagram #webelieveyou #metoo #cherylstrayed #eckharttolle #robbell  #togetherrising #womensmarch #glennondoylemelton #jenniferniven #mayaangelou #supersoulsunday #elizabethgilbert #tonyrobbins #quotes #riseup #poemsofinstagram #enoughisenough;en;#bravingthewilderness, #daringgreatly, #omagazine, #oprah, #deepakchopra, #russellbrand, #emmagonzalez, #togetherwerise, #brenebrown, #abbywambach, #timesup, #writersofinstagram, #webelieveyou, #metoo, #cherylstrayed, #eckharttolle, #robbell, #togetherrising, #womensmarch, #glennondoylemelton, #jenniferniven, #mayaangelou, #supersoulsunday, #elizabethgilbert, #tonyrobbins, #quotes, #riseup, #poemsofinstagram, #enoughisenough;;;;;0;;michelleuptontheauthor;Michelle Upton;;0;False;1;0;0;108;https://instagram.fyvr3-1.fna.fbcdn.net/vp/a091fdcc33c4b2e18bcf6c68d9491970/5D1DF5DC/t51.2885-15/e35/51743736_2352193538125804_263225627531380294_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net;0;FALSE;FALSE;FALSE;english;✨read my new short story ‘road trip’ for free at the link in my bio📚💙plus, you are very welcome to repost any content from my instagram page💙 enjoy💜🌏🍃🌲#michelleuptontheauthor #bravingthewilderness #daringgreatly #omagazine #oprah #deepakchopra #russellbrand #emmagonzalez #togetherwerise #brenebrown #abbywambach #timesup #writersofinstagram #webelieveyou #metoo #cherylstrayed #eckharttolle #robbell  #togetherrising #womensmarch #glennondoylemelton #jenniferniven #mayaangelou #supersoulsunday #elizabethgilbert #tonyrobbins #quotes #riseup #poemsofinstagram #enoughisenough;✨read my new sho story ‘road trip’ for free at the link in my bio📚💙plus, you are very welcome to repost any content from my instagram page💙 enjoy💜🌏🍃🌲                              ;✨read new sho story ‘ road trip ’ free link bio📚💙plus , welcome repost content instagram page💙 enjoy💜🌏🍃🌲 ;[('✨read', 'JJ'), ('new', 'JJ'), ('sho', 'JJ'), ('story', 'NN'), ('‘', 'NNP'), ('road', 'NN'), ('trip', 'NN'), ('’', 'NNP'), ('free', 'JJ'), ('link', 'NN'), ('bio📚💙plus', 'NN'), (',', ','), ('welcome', 'JJ'), ('repost', 'NN'), ('content', 'NN'), ('instagram', 'NN'), ('page💙', 'NN'), ('enjoy💜🌏🍃🌲', 'NN')];✨read new sho stori ‘ road trip ’ free link bio📚💙plu , welcom repost content instagram page💙 enjoy💜🌏🍃🌲;✨read new sho story ‘ road trip ’ free link bio📚💙plus , welcome repost content instagram page💙 enjoy💜🌏🍃🌲
13008;instagram;2019-02-22 15:50:24;TRUE;;"i witness this everyday. seeing a man trying to hit on a women by pushing his entire body up against her. her face is cringe worthy, and yet he doesn’t notice...unless the tables are turned and another man is pushing up against him.
dear all men, please do not touch anyone without their consent. period. dear all men, if you see this happening, step up, and be a #notallmen kind of guy ;)
.
repost from @blcksmth, brilliant way to help folks understand!
.
.
follow @queerbyqueernation for all things queer! check out our queer t-shirt’s, link in bio. help support queer artists!
.
.
.
#consentissexy #consent #genderequality #womenrights #womensrights #catcalling #equalrights #donttouchme #handsoff #keepyourhandstoyourself #wedonotconsent #respectwomen #leavewomenalone #listentowomen #hearwomen #metoo #womendontoweyoushit #donttouchmyhair #womanempowerment #womanpower #lgbtqfeminist #lesbianfeminist #feministmen #itsnotacompliment #streetharrassment";en;#notallmen, #consentissexy, #consent, #genderequality, #womenrights, #womensrights, #catcalling, #equalrights, #donttouchme, #handsoff, #keepyourhandstoyourself, #wedonotconsent, #respectwomen, #leavewomenalone, #listentowomen, #hearwomen, #metoo, #womendontoweyoushit, #donttouchmyhair, #womanempowerment, #womanpower, #lgbtqfeminist, #lesbianfeminist, #feministmen, #itsnotacompliment, #streetharrassment;@blcksmth,, @queerbyqueernation;;;;0;;queerbyqueernation;Queer By Queer Nation;;0;False;1;0;0;122;https://instagram.fyvr3-1.fna.fbcdn.net/vp/7d88b1b882147ae59f5231ca0b1db7ad/5D0910C9/t51.2885-15/e35/51974163_400139667222729_4006097077289985444_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net;0;FALSE;FALSE;FALSE;english;"i witness this everyday. seeing a man trying to hit on a women by pushing his entire body up against her. her face is cringe worthy, and yet he doesn’t notice...unless the tables are turned and another man is pushing up against him.
dear all men, please do not touch anyone without their consent. period. dear all men, if you see this happening, step up, and be a #notallmen kind of guy ;)
.
repost from @blcksmth, brilliant way to help folks understand!
.
.
follow @queerbyqueernation for all things queer! check out our queer t-shirt’s, link in bio. help support queer artists!
.
.
.
#consentissexy #consent #genderequality #womenrights #womensrights #catcalling #equalrights #do nottouchme #handsoff #keepyourhandstoyourself #wedonotconsent #respectwomen #leavewomenalone #listentowomen #hearwomen #metoo #womendo notoweyoushit #do nottouchmyhair #womanempowerment #womanpower #lgbtqfeminist #lesbianfeminist #feministmen #itsnotacompliment #streetharrassment";"i witness this everyday. seeing a man trying to hit on a women by pushing his entire body up against her. her face is cringe wohy, and yet he doesn’t notice...unless the tables are turned and another man is pushing up against him.
dear all men, please do not touch anyone without their consent. period. dear all men, if you see this happening, step up, and be a  kind of guy ;)
.
repost from  brilliant way to help folks understand!
.
.
follow  for all things queer! check out our queer t-shi’s, link in bio. help suppo queer aists!
.
.
.
        nottouchme          notoweyoushit  nottouchmyhair       ";"witness everyday . seeing man trying hit women pushing entire body . face cringe wohy , yet ’ notice ... unless tables turned another man pushing . dear men , please touch anyone without consent . period . dear men , see happening , step , kind guy ; ) . repost brilliant way help folks understand ! . . follow things queer ! check queer t-shi ’ , link bio . help suppo queer aists ! . . . nottouchme notoweyoushit nottouchmyhair ";"[('witness', 'NN'), ('everyday', 'NN'), ('.', '.'), ('seeing', 'VBG'), ('man', 'NN'), ('trying', 'VBG'), ('hit', 'JJ'), ('women', 'NNS'), ('pushing', 'VBG'), ('entire', 'JJ'), ('body', 'NN'), ('.', '.'), ('face', 'NN'), ('cringe', 'NN'), ('wohy', 'NN'), (',', ','), ('yet', 'RB'), ('’', 'JJ'), ('notice', 'NN'), ('...', ':'), ('unless', 'IN'), ('tables', 'NNS'), ('turned', 'VBD'), ('another', 'DT'), ('man', 'NN'), ('pushing', 'VBG'), ('.', '.'), ('dear', 'JJ'), ('men', 'NNS'), (',', ','), ('please', 'VB'), ('touch', 'JJ'), ('anyone', 'NN'), ('without', 'IN'), ('consent', 'NN'), ('.', '.'), ('period', 'NN'), ('.', '.'), ('dear', 'JJ'), ('men', 'NNS'), (',', ','), ('see', 'VBP'), ('happening', 'VBG'), (',', ','), ('step', 'NN'), (',', ','), ('kind', 'NN'), ('guy', 'NN'), (';', ':'), (')', ')'), ('.', '.'), ('repost', 'NN'), ('brilliant', 'JJ'), ('way', 'NN'), ('help', 'NN'), ('folks', 'NNS'), ('understand', 'VBP'), ('!', '.'), ('.', '.'), ('.', '.'), ('follow', 'JJ'), ('things', 'NNS'), ('queer', 'NN'), ('!', '.'), ('check', 'VB'), ('queer', 'JJ'), ('t-shi', 'JJ'), ('’', 'NN'), (',', ','), ('link', 'VBP'), ('bio', 'NN'), ('.', '.'), ('help', 'NN'), ('suppo', 'VB'), ('queer', 'NN'), ('aists', 'NNS'), ('!', '.'), ('.', '.'), ('.', '.'), ('.', '.'), ('nottouchme', 'JJ'), ('notoweyoushit', 'JJ'), ('nottouchmyhair', 'NN')]";"wit everyday . see man tri hit women push entir bodi . face cring wohi , yet ’ notic ... unless tabl turn anoth man push . dear men , pleas touch anyon without consent . period . dear men , see happen , step , kind guy ; ) . repost brilliant way help folk understand ! . . follow thing queer ! check queer t-shi ’ , link bio . help suppo queer aist ! . . . nottouchm notoweyoushit nottouchmyhair";"witness everyday . see man try hit woman push entire body . face cringe wohy , yet ’ notice ... unless table turn another man push . dear men , please touch anyone without consent . period . dear men , see happen , step , kind guy ; ) . repost brilliant way help folk understand ! . . follow thing queer ! check queer t-shi ’ , link bio . help suppo queer aists ! . . . nottouchme notoweyoushit nottouchmyhair"
13009;instagram;2019-02-22 19:21:08;FALSE;‪after a 10 mo investigation, #rkelly’s bn charged w/10 counts of aggravated child sexual #assault & the case has come from of all ppl, michael avenatti. so long as kelly doesn’t pay off anyone as avenatti claims he did back in 08, this might be it for him ‬#news #celeb #celebs #celebrity #popculture #music #hiphop #urban #sexualassault #muterkelly #metoo survivingrkelly #entertainment #entertainmentnews #indicted #prison #jail #michaelavenatti;;en;#RKelly’s, #assault, #celeb, #celebs, #celebrity, #popculture, #music, #hiphop, #urban, #sexualassault, #muterkelly, #metoo, #entertainment, #entertainmentnews, #indicted, #prison, #jail, #michaelavenatti;;;;;0;;popglitz;PopGlitz;;0;False;0;0;0;11;https://instagram.fyvr3-1.fna.fbcdn.net/vp/c31bc7c279918cc252ebc35126caa6f2/5D183FDC/t51.2885-15/e35/51234444_335537750637078_9203981069473216897_n.jpg?_nc_ht=instagram.fyvr3-1.fna.fbcdn.net;0;FALSE;FALSE;FALSE;english;‪after a 10 mo investigation, #rkelly’s bn charged w/10 counts of aggravated child sexual #assault & the case has come from of all ppl, michael avenatti. so long as kelly doesn’t pay off anyone as avenatti claims he did back in 08, this might be it for him ‬#news #celeb #celebs #celebrity #popculture #music #hiphop #urban #sexualassault #muterkelly #metoo survivingrkelly #entertainment #entertainmentnews #indicted #prison #jail #michaelavenatti;‪after a 10 mo investigation,  bn charged w/10 counts of aggravated child sexual  & the case has come from of all ppl, michael avenatti. so long as kelly doesn’t pay off anyone as avenatti claims he did back in 08, this might be it for him ‬           survivingrkelly      ;‪after 10 mo investigation , bn charged w/10 counts aggravated child sexual & case come ppl , michael avenatti . long kelly ’ pay anyone avenatti claims back 08 , might ‬ survivingrkelly ;[('\u202aafter', 'RB'), ('10', 'CD'), ('mo', 'JJ'), ('investigation', 'NN'), (',', ','), ('bn', 'NN'), ('charged', 'VBN'), ('w/10', 'JJ'), ('counts', 'NNS'), ('aggravated', 'VBN'), ('child', 'JJ'), ('sexual', 'JJ'), ('&', 'CC'), ('case', 'NN'), ('come', 'VBP'), ('ppl', 'NN'), (',', ','), ('michael', 'JJ'), ('avenatti', 'NN'), ('.', '.'), ('long', 'JJ'), ('kelly', 'RB'), ('’', 'JJ'), ('pay', 'NN'), ('anyone', 'NN'), ('avenatti', 'NN'), ('claims', 'VBZ'), ('back', 'RB'), ('08', 'CD'), (',', ','), ('might', 'MD'), ('\u202c', 'VB'), ('survivingrkelly', 'RB')];‪after 10 mo investig , bn charg w/10 count aggrav child sexual & case come ppl , michael avenatti . long kelli ’ pay anyon avenatti claim back 08 , might ‬ survivingrkelli;‪after 10 mo investigation , bn charge w/10 count aggravate child sexual & case come ppl , michael avenatti . long kelly ’ pay anyone avenatti claim back 08 , might ‬ survivingrkelly
