id;source;created_date;is_retweet;text;text_retweet;language;hashtags;mentions;location;geo_location;geo_country;geo_coordinates;user_created_at;screen_name;name;profile_description;total_number_of_tweets;is_verified;followers_count;friends_count;retweets_count;favorite_count;url;listed_count;default_profile;default_profile_image;has_extended_profile;language_desc;tweet_full;pre_proc_tweet;stop_filter_tweet;pos_tags;stem_filter;lemma_filter
32000;twitter;1/23/18 22:36;TRUE;;"RT @PeterSweden7: This is a true story from Sweden. Not a joke.

A 12 year old girl war raped by an asylumseeker.

The girls mother is an a…";en;;;Kraków, Polska;;;;7/26/17 19:52;Maciek15802;Maciek 🇵🇱;yeet;3998;False;37;82;4770;0;;0;True;False;True;english;"rt @petersweden7: this is a true story from sweden. not a joke.

a 12 year old girl war raped by an asylumseeker.

the girls mother is an a…";"  this is a true story from sweden. not a joke.

a 12 year old girl war raped by an asylumseeker.

the girls mother is an a…";true story sweden . joke . 12 year old girl war raped asylumseeker . girls mother a… ;[('true', 'JJ'), ('story', 'NN'), ('sweden', 'NN'), ('.', '.'), ('joke', 'NN'), ('.', '.'), ('12', 'CD'), ('year', 'NN'), ('old', 'JJ'), ('girl', 'NN'), ('war', 'NN'), ('raped', 'VBD'), ('asylumseeker', 'NN'), ('.', '.'), ('girls', 'NNS'), ('mother', 'RBR'), ('a…', 'NN')];true stori sweden . joke . 12 year old girl war rape asylumseek . girl mother a…;true story sweden . joke . 12 year old girl war rap asylumseeker . girl mother a…
32001;twitter;1/23/18 22:36;TRUE;;RT @SiPeroNo1: Ha hecho más daño a las mujeres Rajoy con su reforma laboral que todos los acosadores de Hollywood juntos.   #MeToo;es;MeToo;;;;;;10/4/12 5:34;Txoropita;Txoropita;"Gu sortu ginen enbor beretik sortuko dira besteak.
Burruka hortan iraunen dute
zuhaitz ardaska gazteak";58413;False;571;690;29;0;;18;False;False;False;spanish;rt @siperono1: ha hecho más daño a las mujeres rajoy con su reforma laboral que todos los acosadores de hollywood juntos.   #metoo;  ha hecho más daño a las mujeres rajoy con su reforma laboral que todos los acosadores de hollywood juntos.   ;hecho daño mujeres rajoy reforma laboral acosadores hollywood juntos . ;[('hecho', 'NN'), ('daño', 'NN'), ('mujeres', 'NNS'), ('rajoy', 'VBP'), ('reforma', 'JJ'), ('laboral', 'JJ'), ('acosadores', 'NNS'), ('hollywood', 'VBD'), ('juntos', 'NNS'), ('.', '.')];hecho daño mujer rajoy reforma labor acosador hollywood junto .;hecho daño mujeres rajoy reforma laboral acosadores hollywood junto .
32002;twitter;1/23/18 22:36;TRUE;;"RT @PeterSweden7: This is a true story from Sweden. Not a joke.

A 12 year old girl war raped by an asylumseeker.

The girls mother is an a…";en;;;Hard Times;;;;2/22/15 14:49;kilby_morgan;M 🇬🇧;;2128;False;11;38;4770;0;;0;True;False;False;english;"rt @petersweden7: this is a true story from sweden. not a joke.

a 12 year old girl war raped by an asylumseeker.

the girls mother is an a…";"  this is a true story from sweden. not a joke.

a 12 year old girl war raped by an asylumseeker.

the girls mother is an a…";true story sweden . joke . 12 year old girl war raped asylumseeker . girls mother a… ;[('true', 'JJ'), ('story', 'NN'), ('sweden', 'NN'), ('.', '.'), ('joke', 'NN'), ('.', '.'), ('12', 'CD'), ('year', 'NN'), ('old', 'JJ'), ('girl', 'NN'), ('war', 'NN'), ('raped', 'VBD'), ('asylumseeker', 'NN'), ('.', '.'), ('girls', 'NNS'), ('mother', 'RBR'), ('a…', 'NN')];true stori sweden . joke . 12 year old girl war rape asylumseek . girl mother a…;true story sweden . joke . 12 year old girl war rap asylumseeker . girl mother a…
32003;twitter;1/23/18 22:36;TRUE;;RT @caroviggiano: El movimiento #MeToo contra el acoso sexual laboral nos recuerda que esta vergonzosa conducta no sólo sucede en el mundo…;es;MeToo;;;;;;1/26/17 0:19;HERSAM9;HERSAM;;30840;False;62;66;35;0;;1;True;False;False;spanish;rt @caroviggiano: el movimiento #metoo contra el acoso sexual laboral nos recuerda que esta vergonzosa conducta no sólo sucede en el mundo…;  el movimiento  contra el acoso sexual laboral nos recuerda que esta vergonzosa conducta no sólo sucede en el mundo…;movimiento acoso sexual laboral recuerda vergonzosa conducta sólo sucede mundo… ;[('movimiento', 'NN'), ('acoso', 'NN'), ('sexual', 'JJ'), ('laboral', 'JJ'), ('recuerda', 'NN'), ('vergonzosa', 'NN'), ('conducta', 'NN'), ('sólo', 'NN'), ('sucede', 'NN'), ('mundo…', 'NN')];movimiento acoso sexual labor recuerda vergonzosa conducta sólo suced mundo…;movimiento acoso sexual laboral recuerda vergonzosa conducta sólo sucede mundo…
32004;twitter;1/23/18 22:37;FALSE;¿Consideras que las mujeres en América Latina deben hacer públicas sus denuncias de acoso sexual, como las de #MeToo en EUA? En #LAC 60.000 mujeres mueren al año a manos de un hombre, y de los 25 países con más feminicidios, 14 son de nuestra región: https://t.co/R0e0RJeUjB https://t.co/MJMlynHRDZ;;es;MeToo, LAC;;Comunidad virtual;;;;9/12/14 14:53;RedPROLID;Red PROLID-BID;La Red PROLID es un espacio para compartir experiencias, debatir y desarrollar contactos con mujeres del sector público de América Latina.;3111;False;5447;845;7;3;http://t.co/WRJOoOllJH;46;True;False;False;spanish;¿consideras que las mujeres en américa latina deben hacer públicas sus denuncias de acoso sexual, como las de #metoo en eua? en #lac 60.000 mujeres mueren al año a manos de un hombre, y de los 25 países con más feminicidios, 14 son de nuestra región: https://t.co/r0e0rjeujb https://t.co/mjmlynhrdz;¿consideras que las mujeres en américa latina deben hacer públicas sus denuncias de acoso sexual, como las de  en eua? en  60.000 mujeres mueren al año a manos de un hombre, y de los 25 países con más feminicidios, 14 son de nuestra región:  ;¿consideras mujeres américa latina deben hacer públicas denuncias acoso sexual , eua ? 60.000 mujeres mueren año manos hombre , 25 países feminicidios , 14 región : ;[('¿consideras', 'JJ'), ('mujeres', 'NNS'), ('américa', 'VBP'), ('latina', 'JJ'), ('deben', 'NN'), ('hacer', 'NN'), ('públicas', 'NN'), ('denuncias', 'NN'), ('acoso', 'JJ'), ('sexual', 'JJ'), (',', ','), ('eua', 'VB'), ('?', '.'), ('60.000', 'CD'), ('mujeres', 'NNS'), ('mueren', 'JJ'), ('año', 'JJ'), ('manos', 'NNS'), ('hombre', 'NN'), (',', ','), ('25', 'CD'), ('países', 'NNS'), ('feminicidios', 'NNS'), (',', ','), ('14', 'CD'), ('región', 'NN'), (':', ':')];¿considera mujer américa latina deben hacer pública denuncia acoso sexual , eua ? 60.000 mujer mueren año mano hombr , 25 país feminicidio , 14 región :;¿consideras mujeres américa latina deben hacer públicas denuncias acoso sexual , eua ? 60.000 mujeres mueren año manos hombre , 25 países feminicidios , 14 región :
32005;twitter;1/23/18 22:37;FALSE;"Sorry, #GermaineGreer has got a point, if you read the full original article &amp; put your mind to process the actual big &amp; nuanced picture: https://t.co/GkaOc3K5Sr";;en;GermaineGreer;;London, UK & Sofia, Bulgaria;;;;8/31/10 16:05;artistgots;Oli Gots;"Events Curator/Publicist&Marketing: Arts, Film & Multimedia. Also draw.
Co-founder & ex editor @film_doctor";916;False;372;844;0;0;http://t.co/qiYq3uCfVj;42;False;False;False;english;"sorry, #germainegreer has got a point, if you read the full original article &amp; put your mind to process the actual big &amp; nuanced picture: https://t.co/gkaoc3k5sr";"sorry,  has got a point, if you read the full original aicle &amp; put your mind to process the actual big &amp; nuanced picture: ";"sorry , got point , read full original aicle & amp ; put mind process actual big & amp ; nuanced picture : ";"[('sorry', 'NN'), (',', ','), ('got', 'VBD'), ('point', 'NN'), (',', ','), ('read', 'VBP'), ('full', 'JJ'), ('original', 'JJ'), ('aicle', 'NN'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('put', 'CC'), ('mind', 'VB'), ('process', 'NN'), ('actual', 'JJ'), ('big', 'JJ'), ('&', 'CC'), ('amp', 'NN'), (';', ':'), ('nuanced', 'JJ'), ('picture', 'NN'), (':', ':')]";"sorri , got point , read full origin aicl & amp ; put mind process actual big & amp ; nuanc pictur :";"sorry , get point , read full original aicle & amp ; put mind process actual big & amp ; nuanced picture :"
32006;twitter;1/23/18 22:37;TRUE;;"RT @cindygallop: ""It was unclear why men, seated at their tables with hostesses standing close by, felt the need to hold the hands of the w…";en;;;Esslingen a.N. (Germany);;;;8/21/10 21:43;pixelpartner;Thomas Kumlehn;Film/VFX/Viz pipeline coder and tinkerer, mad about 3-D, stereoscopic & XR. Head of R&D @WurzelMedien #refugeeswelcome;22984;False;1217;2992;4;0;https://t.co/ugetiL3GEl;197;False;False;True;english;"rt @cindygallop: ""it was unclear why men, seated at their tables with hostesses standing close by, felt the need to hold the hands of the w…";"  ""it was unclear why men, seated at their tables with hostesses standing close by, felt the need to hold the hands of the w…";`` unclear men , seated tables hostesses standing close , felt need hold hands w… ;[('``', '``'), ('unclear', 'JJ'), ('men', 'NNS'), (',', ','), ('seated', 'VBD'), ('tables', 'NNS'), ('hostesses', 'VBZ'), ('standing', 'VBG'), ('close', 'RB'), (',', ','), ('felt', 'VBD'), ('need', 'MD'), ('hold', 'VB'), ('hands', 'NNS'), ('w…', 'JJ')];`` unclear men , seat tabl hostess stand close , felt need hold hand w…; unclear men , seat table host stand close , felt need hold hand w…
32007;twitter;1/23/18 22:37;TRUE;;RT @georgegalloway: I ask again: why is there virtual silence from international feminism, human rights liberals, #MeToo campaigners et al…;en;MeToo;;UK Berkshire;;;;12/27/13 20:31;oldsurveyors;NigelofWarfield;Retired having run a small surveyor's practice over 12 years joined Labour Party back in March 2017 supported JeremyCorbyn since 2015.;26729;False;752;1092;4885;0;;11;True;False;False;english;rt @georgegalloway: i ask again: why is there virtual silence from international feminism, human rights liberals, #metoo campaigners et al…;  i ask again: why is there viual silence from international feminism, human rights liberals,  campaigners et al…;ask : viual silence international feminism , human rights liberals , campaigners et al… ;[('ask', 'NN'), (':', ':'), ('viual', 'JJ'), ('silence', 'NN'), ('international', 'JJ'), ('feminism', 'NN'), (',', ','), ('human', 'JJ'), ('rights', 'NNS'), ('liberals', 'NNS'), (',', ','), ('campaigners', 'NNS'), ('et', 'VBP'), ('al…', 'NN')];ask : viual silenc intern femin , human right liber , campaign et al…;ask : viual silence international feminism , human right liberal , campaigner et al…
32008;twitter;1/23/18 22:37;TRUE;;RT @bmyeung: Fascinating @PRI analysis of how #MeToo has been covered and discussed in social media -- shows how many voices have been excl…;en;MeToo;PRI;minneapolis;;;;6/4/08 14:46;jodiontheweb;Jodi Gersh;Head engagement @PRI / @PRX. Former @USATODAY / Gannett. From NY, now MN via DC & Vegas. Empathizer/Proud GenXr/ 💜animals/Caps/purple/IPAs. I've seen things.;28925;True;8358;5958;5;0;https://t.co/FIrivM3PY0;650;False;False;False;english;rt @bmyeung: fascinating @pri analysis of how #metoo has been covered and discussed in social media -- shows how many voices have been excl…;  fascinating  analysis of how  has been covered and discussed in social media -- shows how many voices have been excl…;fascinating analysis covered discussed social media -- shows many voices excl… ;[('fascinating', 'VBG'), ('analysis', 'NN'), ('covered', 'VBD'), ('discussed', 'VBN'), ('social', 'JJ'), ('media', 'NNS'), ('--', ':'), ('shows', 'VBZ'), ('many', 'JJ'), ('voices', 'NNS'), ('excl…', 'VBP')];fascin analysi cover discuss social media -- show mani voic excl…;fascinate analysis cover discuss social medium -- show many voice excl…
32009;twitter;1/23/18 22:37;TRUE;;RT @JustHallel: Fathers, don't teach your daughters to be on edge - teach your sons respect ✊ #MeToo https://t.co/OcToeqNYef;en;MeToo;;Newark, NJ;;;;11/26/15 23:39;_misterenigma;Mister Enigma;⭐️💉Tattoo Artist with a vision for Greatness 💉⭐️ ⭕️Graphic Novelist⭕️ 🔴SERIOUS INQUIRIES ONLY🔴 💉New Jersey💉;41866;False;1033;1662;1453;0;https://t.co/ssNKcS1jru;31;True;False;True;english;rt @justhallel: fathers, do not teach your daughters to be on edge - teach your sons respect ✊ #metoo https://t.co/octoeqnyef;  fathers, do not teach your daughters to be on edge - teach your sons respect ✊  ;fathers , teach daughters edge - teach sons respect ✊ ;[('fathers', 'NNS'), (',', ','), ('teach', 'NN'), ('daughters', 'NNS'), ('edge', 'VBP'), ('-', ':'), ('teach', 'NN'), ('sons', 'NNS'), ('respect', 'VBP'), ('✊', 'NN')];father , teach daughter edg - teach son respect ✊;father , teach daughter edge - teach son respect ✊
