id;source;created_date;is_retweet;text;text_retweet;language;hashtags;mentions;location;geo_location;geo_country;geo_coordinates;user_created_at;screen_name;name;profile_description;total_number_of_tweets;is_verified;followers_count;friends_count;retweets_count;favorite_count;url;listed_count;default_profile;default_profile_image;has_extended_profile;language_desc;tweet_full;pre_proc_tweet;stop_filter_tweet;pos_tags;stem_filter;lemma_filter
3000;twitter;3/24/19 22:14;FALSE;"@JohnMHague13 I grew up with feminists who wanted equality.
It's amazing how much of that is achieved.
but the #metoo wannabe victims and abusers putting men in prison for non existent rapes is ruining what was a genuinely needed movement.

Sadly it is now not about equality at all.";;en;metoo;JohnMHague13;Green uplands of Cot;;;;9/18/10 13:26;smile_of_decade;Well, I never;Campaigning for victims of rape and false accusations thereof;106281;False;950;619;0;0;https://t.co/vmS8UO6V9g;32;False;False;True;english;"@johnmhague13 i grew up with feminists who wanted equality.
it is amazing how much of that is achieved.
but the #metoo wannabe victims and abusers putting men in prison for non existent rapes is ruining what was a genuinely needed movement.

sadly it is now not about equality at all.";" i grew up with feminists who wanted equality.
it is amazing how much of that is achieved.
but the  wannabe victims and abusers putting men in prison for non existent rapes is ruining what was a genuinely needed movement.

sadly it is now not about equality at all.";grew feminists wanted equality . amazing much achieved . wannabe victims abusers putting men prison non existent rapes ruining genuinely needed movement . sadly equality . ;[('grew', 'VBD'), ('feminists', 'NNS'), ('wanted', 'VBD'), ('equality', 'NN'), ('.', '.'), ('amazing', 'JJ'), ('much', 'RB'), ('achieved', 'VBN'), ('.', '.'), ('wannabe', 'NN'), ('victims', 'NNS'), ('abusers', 'NNS'), ('putting', 'VBG'), ('men', 'NNS'), ('prison', 'NN'), ('non', 'FW'), ('existent', 'JJ'), ('rapes', 'NNS'), ('ruining', 'VBG'), ('genuinely', 'RB'), ('needed', 'VBN'), ('movement', 'NN'), ('.', '.'), ('sadly', 'RB'), ('equality', 'NN'), ('.', '.')];grew feminist want equal . amaz much achiev . wannab victim abus put men prison non exist rape ruin genuin need movement . sadli equal .;grow feminist want equality . amazing much achieve . wannabe victim abuser put men prison non existent rape ruin genuinely need movement . sadly equality .
3001;twitter;3/24/19 22:14;TRUE;;RT @200mwm: I saw this message written on the pavement yesterday morning... #metoo #feminism #womensright #everydaysexism https://t.co/oDgA…;en;metoo, feminism, womensright, everydaysexism;;;;;;9/30/17 12:24;dollydhalay1;dollydhalay;Woman, feminist, sex not gender. Woman = adult female human. Love animals and nature.;20505;False;624;3315;7;0;;2;True;False;False;english;rt @200mwm: i saw this message written on the pavement yesterday morning... #metoo #feminism #womensright #everydaysexism https://t.co/odga…;  i saw this message written on the pavement yesterday morning...     ;saw message written pavement yesterday morning ... ;[('saw', 'JJ'), ('message', 'NN'), ('written', 'VBN'), ('pavement', 'JJ'), ('yesterday', 'NN'), ('morning', 'NN'), ('...', ':')];saw messag written pavement yesterday morn ...;saw message write pavement yesterday morning ...
3002;twitter;3/24/19 22:13;TRUE;;RT @JoyPullmann: Are @facebook and @Twitter going to continue to give this corrupt organization credibility by using them to arbitrate spee…;en;;facebook,Twitter;United States;;;;6/10/11 16:46;kirchbabe;🇺🇸momkapp🇺🇸 🐄💨 Q;"Mom of 4, grandma of 5. Retired. 

PresidentTrump
MAGA 
PrisonForHillary 
SethRich  

Please no lists. No pen pals. I said Grandma, no dates, don't say hi.";211632;False;8890;8463;133;0;;51;False;False;True;english;rt @joypullmann: are @facebook and @twitter going to continue to give this corrupt organization credibility by using them to arbitrate spee…;  are  and  going to continue to give this corrupt organization credibility by using them to arbitrate spee…;going continue give corrupt organization credibility using arbitrate spee… ;[('going', 'VBG'), ('continue', 'VBP'), ('give', 'VB'), ('corrupt', 'JJ'), ('organization', 'NN'), ('credibility', 'NN'), ('using', 'VBG'), ('arbitrate', 'JJ'), ('spee…', 'NN')];go continu give corrupt organ credibl use arbitr spee…;go continue give corrupt organization credibility use arbitrate spee…
3003;twitter;3/24/19 22:13;TRUE;;RT @JoyPullmann: Are @facebook and @Twitter going to continue to give this corrupt organization credibility by using them to arbitrate spee…;en;;facebook,Twitter;;;;;6/2/12 20:01;LaraWhite14;Lara White;From 2008-2016 A FED UP American tired of Marxist thugs running the country.  #LNYHBT #MAGA #GreatAwakening;36027;False;1529;2459;133;0;;16;False;False;False;english;rt @joypullmann: are @facebook and @twitter going to continue to give this corrupt organization credibility by using them to arbitrate spee…;  are  and  going to continue to give this corrupt organization credibility by using them to arbitrate spee…;going continue give corrupt organization credibility using arbitrate spee… ;[('going', 'VBG'), ('continue', 'VBP'), ('give', 'VB'), ('corrupt', 'JJ'), ('organization', 'NN'), ('credibility', 'NN'), ('using', 'VBG'), ('arbitrate', 'JJ'), ('spee…', 'NN')];go continu give corrupt organ credibl use arbitr spee…;go continue give corrupt organization credibility use arbitrate spee…
3004;twitter;3/24/19 22:12;TRUE;;RT @djbaby2009: Manly, Stewart, Finaldi. The perfect law firm for #MeToo abusers who are false accusers. They’re assisting #WadeRobson and…;en;MeToo, WadeRobson;;;;;;10/15/17 5:22;FightSexCrimes;Fight Sex Crimes;#MeToo! #TimesUp! Standing up to #sexualassault #sexualabuse #sextrafficking #pedophilia & other #sexcrimes;5254;False;117;30;16;0;;1;False;False;False;english;rt @djbaby2009: manly, stewart, finaldi. the perfect law firm for #metoo abusers who are false accusers. they’re assisting #waderobson and…;  manly, stewa, finaldi. the perfect law firm for  abusers who are false accusers. they’re assisting  and…;manly , stewa , finaldi . perfect law firm abusers false accusers . ’ assisting and… ;[('manly', 'RB'), (',', ','), ('stewa', 'NN'), (',', ','), ('finaldi', 'NN'), ('.', '.'), ('perfect', 'JJ'), ('law', 'NN'), ('firm', 'NN'), ('abusers', 'VBZ'), ('false', 'JJ'), ('accusers', 'NNS'), ('.', '.'), ('’', 'VB'), ('assisting', 'VBG'), ('and…', 'NN')];manli , stewa , finaldi . perfect law firm abus fals accus . ’ assist and…;manly , stewa , finaldi . perfect law firm abusers false accuser . ’ assist and…
3005;twitter;3/24/19 22:12;TRUE;;RT @JoyPullmann: Are @facebook and @Twitter going to continue to give this corrupt organization credibility by using them to arbitrate spee…;en;;facebook,Twitter;;;;;11/8/12 15:42;coff33loveit;Mom Mary;Just Me;296708;False;14859;16068;133;0;;96;False;False;False;english;rt @joypullmann: are @facebook and @twitter going to continue to give this corrupt organization credibility by using them to arbitrate spee…;  are  and  going to continue to give this corrupt organization credibility by using them to arbitrate spee…;going continue give corrupt organization credibility using arbitrate spee… ;[('going', 'VBG'), ('continue', 'VBP'), ('give', 'VB'), ('corrupt', 'JJ'), ('organization', 'NN'), ('credibility', 'NN'), ('using', 'VBG'), ('arbitrate', 'JJ'), ('spee…', 'NN')];go continu give corrupt organ credibl use arbitr spee…;go continue give corrupt organization credibility use arbitrate spee…
3006;twitter;3/24/19 22:12;TRUE;;RT @kirthijayakumar: Absolutely appalled at how @neetimohan18, @diljitdosanjh, @Shankar_Live and the rest of the crew literally threw the #…;en;;neetimohan18,diljitdosanjh,Shankar_Live;;;;;6/1/11 0:41;whycanthropy;Air Lock;Oblivion Walker. Hope-est Deal.;2058;False;78;696;65;0;;0;True;False;False;english;rt @kirthijayakumar: absolutely appalled at how @neetimohan18, @diljitdosanjh, @shankar_live and the rest of the crew literally threw the #…;  absolutely appalled at how    and the rest of the crew literally threw the ;absolutely appalled rest crew literally threw ;[('absolutely', 'RB'), ('appalled', 'JJ'), ('rest', 'NN'), ('crew', 'NN'), ('literally', 'RB'), ('threw', 'VBD')];absolut appal rest crew liter threw;absolutely appalled rest crew literally throw
3007;twitter;3/24/19 22:12;FALSE;"Para mí la parte más importante de los #metoo es que los onvrez se den cuenta que nosotras nos estamos creyendo, cuidando y apoyando.
No les debemos pruebas ni explicaciones de nada. 
Las voces son nuestras y las vamos a usar para lo que se nos de la gana.";;es;metoo;;;;;;10/29/13 22:08;meobligaron88;Cecilia;Ojalá de cuando en cuando vomitase un conejito.;8414;False;209;407;0;7;;1;False;False;False;spanish;"para mí la parte más importante de los #metoo es que los onvrez se den cuenta que nosotras nos estamos creyendo, cuidando y apoyando.
no les debemos pruebas ni explicaciones de nada. 
las voces son nuestras y las vamos a usar para lo que se nos de la gana.";"para mí la pae más impoante de los  es que los onvrez se den cuenta que nosotras nos estamos creyendo, cuidando y apoyando.
no les debemos pruebas ni explicaciones de nada. 
las voces son nuestras y las vamos a usar para lo que se nos de la gana.";pae impoante onvrez den cuenta creyendo , cuidando apoyando . debemos pruebas explicaciones . voces vamos usar gana . ;[('pae', 'NN'), ('impoante', 'NN'), ('onvrez', 'FW'), ('den', 'JJ'), ('cuenta', 'NN'), ('creyendo', 'NN'), (',', ','), ('cuidando', 'NN'), ('apoyando', 'NN'), ('.', '.'), ('debemos', 'VB'), ('pruebas', 'JJ'), ('explicaciones', 'NNS'), ('.', '.'), ('voces', 'NNS'), ('vamos', 'VBP'), ('usar', 'JJ'), ('gana', 'NN'), ('.', '.')];pae impoant onvrez den cuenta creyendo , cuidando apoyando . debemo prueba explicacion . voce vamo usar gana .;pae impoante onvrez den cuenta creyendo , cuidando apoyando . debemos pruebas explicaciones . vox vamos usar gana .
3008;twitter;3/24/19 22:12;TRUE;;RT @tariqnasheed: A Black woman named Amber Evens-an activist for the gun control organization #MarchForOurLives -has been missing for over…;en;MarchForOurLives;;Central Florida;;;;9/20/18 22:38;JW9716;Low Caste Warrior, Low Class Intellectual 🌈 🇺🇸;Power is the ability to define reality.;11301;False;283;1252;1024;0;;4;True;False;False;english;rt @tariqnasheed: a black woman named amber evens-an activist for the gun control organization #marchforourlives -has been missing for over…;  a black woman named amber evens-an activist for the gun control organization  -has been missing for over…;black woman named amber evens-an activist gun control organization -has missing over… ;[('black', 'JJ'), ('woman', 'NN'), ('named', 'VBN'), ('amber', 'IN'), ('evens-an', 'JJ'), ('activist', 'NN'), ('gun', 'NN'), ('control', 'NN'), ('organization', 'NN'), ('-has', 'NNP'), ('missing', 'VBG'), ('over…', 'NN')];black woman name amber evens-an activist gun control organ -ha miss over…;black woman name amber evens-an activist gun control organization -has miss over…
3009;twitter;3/24/19 22:12;FALSE;@IngrahamAngle @BostonGlobe @shattuck #CNN #MSNBC #ABC SHOULD ALL BE INVESTIGATED FOR COLLUDING TO IMPEACH AN INNOCENT MAN. PRESIDENT TRUMP! #FOXNEWS #THEVIEW #CNN #BLEXIT #OUTNUMBERED #FOXANDFRIENDS #MAGA #METOO #ABCNEWS #CBSNEWS #BUILDTHEWALL;;en;CNN, MSNBC, ABC, FOXNEWS, THEVIEW, CNN, BLEXIT, OUTNUMBERED, FOXANDFRIENDS, MAGA, METOO, ABCNEWS, CBSNEWS, BUILDTHEWALL;IngrahamAngle,BostonGlobe,shattuck;;;;;10/22/18 21:10;Smilek87479095;Smilek;;4562;False;96;26;0;1;;6;True;False;False;english;@ingrahamangle @bostonglobe @shattuck #cnn #msnbc #abc should all be investigated for colluding to impeach an innocent man. president trump! #foxnews #theview #cnn #blexit #outnumbered #foxandfriends #maga #metoo #abcnews #cbsnews #buildthewall;      should all be investigated for colluding to impeach an innocent man. president trump!           ;investigated colluding impeach innocent man . president trump ! ;[('investigated', 'VBN'), ('colluding', 'VBG'), ('impeach', 'NN'), ('innocent', 'JJ'), ('man', 'NN'), ('.', '.'), ('president', 'NN'), ('trump', 'NN'), ('!', '.')];investig collud impeach innoc man . presid trump !;investigate collude impeach innocent man . president trump !
